product_id,supplier_id,supply_price,lead_time_days,min_order_quantity
1,2,22.13,30,64
2,4,922.6,17,45
3,3,14.02,22,11
4,1,73.39,30,62
4,4,92.42,22,99
5,1,11.9,20,23
6,1,9.49,29,80
6,4,13.23,13,64
7,5,818.73,13,82
7,3,1012.21,5,61
7,4,708.15,26,52
8,2,22.32,9,98
8,4,32.3,13,53
8,5,26.31,24,81
9,5,277.36,25,79
10,5,23.8,6,72
10,2,20.9,24,45
11,3,26.59,26,89
12,4,16.5,24,55
12,5,20.09,25,66
12,3,23.8,10,50
13,1,95.33,25,78
14,2,80.3,29,59
14,3,85.23,24,54
15,3,16.48,17,46
16,1,11.53,25,61
16,5,11.45,14,96
17,2,14.48,21,50
17,4,15.74,5,27
17,3,18.08,26,59
18,3,97.98,19,59
19,1,13.68,17,59
20,2,188.92,22,61
21,5,18.23,11,49
21,3,23.58,9,44
22,2,73.74,24,90
22,3,76.87,26,62
23,5,20.54,8,60
23,3,18.36,10,73
24,3,12.63,26,47
24,2,10.37,7,56
24,1,14.31,20,26
25,3,23.84,9,51
26,1,86.26,11,53
27,4,17.55,28,59
28,2,36.83,15,76
29,4,4.99,17,18
29,1,5.3,8,56
29,3,6.38,6,53
30,3,34.89,16,39
31,3,6.47,7,34
31,5,7.99,21,44
32,3,20.84,5,52
32,1,18.65,24,39
33,5,25.51,12,29
33,3,20.37,27,25
34,2,25.69,9,84
35,4,26.55,28,38
35,3,24.81,30,45
36,5,13.38,7,45
36,2,14.51,30,78
36,1,14.83,20,75
37,4,68.44,30,35
38,5,23.9,19,71
38,3,21.79,22,29
38,2,22.61,14,15
39,4,15.81,8,64
40,3,14.87,7,37
40,2,17.26,23,97
40,4,20.09,21,20
41,2,222.83,5,15
41,5,296.26,23,59
41,3,227.22,14,30
42,1,46.74,19,76
42,3,55.29,29,65
43,3,38.75,16,74
44,5,949.95,14,54
44,1,1110.82,18,37
45,3,18.62,21,78
45,5,17.36,28,73
45,4,22.86,9,50
46,2,39.98,10,26
46,4,45.97,11,51
47,2,46.42,19,77
48,5,34.79,10,80
48,4,27.55,6,41
48,3,30.63,16,39
49,3,17.42,10,75
49,1,18.86,10,10
49,4,19.02,19,60
50,4,28.66,17,100
50,5,24.06,9,79
51,2,31.03,14,51
51,5,28.28,21,67
51,3,21.72,26,26
52,4,876.8,15,36
53,5,16.52,11,59
54,4,83.11,11,23
54,2,83.51,29,100
54,5,75.23,9,22
55,4,64.41,20,47
55,1,65.79,7,42
55,2,67.69,13,38
56,1,44.53,8,11
57,5,16.81,14,55
57,1,17.3,30,86
58,4,19.44,16,100
58,5,16.32,13,36
59,1,124.64,30,88
60,4,765.96,8,97
60,2,1041.63,12,39
61,5,13.57,30,84
62,5,22.62,18,88
62,2,25.78,7,13
63,1,28.9,30,91
64,4,16.86,14,86
64,1,19.68,16,79
65,1,33.55,22,62
65,5,37.41,28,77
65,3,35.93,7,70
66,5,58.35,27,26
66,4,51.36,23,85
66,2,52.28,24,42
67,1,31.36,12,75
68,4,66.58,14,84
69,2,141.91,11,37
70,4,113.02,10,39
71,1,21.17,22,15
71,5,26.72,19,11
71,3,20.88,11,97
72,2,3.15,28,77
73,1,262.58,22,69
74,3,130.69,28,73
74,1,119.85,19,12
75,4,197.26,18,55
76,2,3.94,26,67
76,4,4.65,27,27
77,4,28.96,22,29
78,1,593.86,10,97
79,1,45.15,8,84
79,4,50.31,11,74
79,3,42.95,22,31
80,4,23.23,13,66
80,1,19.39,13,100
81,2,22.77,11,11
82,2,21.18,16,92
82,4,20.12,18,82
83,5,25.14,6,61
84,3,3.55,17,14
84,5,3.86,22,55
85,4,247.9,11,42
86,5,38.19,11,53
86,4,33.04,28,45
86,3,33.79,22,21
87,5,98.66,26,49
88,4,14.13,9,43
88,1,13.11,5,59
89,3,67.41,22,97
89,2,62.98,29,100
89,1,60.89,22,100
90,5,88.3,30,58
90,3,67.7,21,22
90,1,62.61,18,53
91,2,32.18,16,80
91,4,38.44,27,57
91,3,35.24,13,31
92,4,108.15,20,83
93,2,29.49,11,62
94,5,66.73,17,53
95,4,44.13,20,61
95,3,43.5,21,73
95,1,43.77,16,82
96,2,314.33,22,64
97,2,486.04,29,49
98,4,8.29,24,19
99,2,27.46,29,81
99,5,23.68,22,93
99,4,29.78,14,32
100,5,61.14,9,34
100,3,48.28,24,11
101,3,27.32,17,24
101,4,22.96,5,14
101,2,20.35,7,38
102,1,34.44,14,77
102,5,48.52,14,46
102,4,35.7,11,62
103,4,79.53,10,19
103,2,71.96,23,87
104,5,20.65,28,77
105,4,21.01,17,42
105,3,28.3,27,87
106,5,46.45,25,94
107,3,6.81,7,53
107,5,7.89,20,38
107,4,6.7,5,58
108,1,24.17,23,58
108,3,22.77,12,59
109,4,25.82,6,84
109,2,31.67,8,15
110,1,38.09,19,33
111,2,19.0,26,32
111,3,16.95,21,59
112,4,8.17,10,44
112,5,9.27,24,70
112,1,6.7,29,92
113,2,21.19,26,66
113,4,23.49,10,72
114,2,81.24,8,97
114,4,94.54,26,89
115,1,15.7,19,96
116,1,555.15,30,33
116,2,687.18,18,10
117,5,34.31,15,62
117,1,35.51,27,78
117,2,40.59,26,80
118,5,209.13,6,77
118,4,177.9,24,70
119,2,141.97,21,58
120,1,29.91,23,47
120,5,29.57,27,34
121,4,8.23,20,16
121,5,7.85,11,29
122,2,72.91,20,94
122,3,73.79,30,54
123,2,12.42,30,43
123,4,14.19,21,66
123,1,13.78,17,59
124,1,83.0,23,91
124,5,83.21,19,20
124,3,86.29,25,40
125,3,487.09,13,50
125,1,451.94,27,91
126,1,23.15,29,56
127,3,53.18,10,86
128,4,14.34,28,44
128,5,19.15,28,77
128,3,18.66,15,39
129,4,3.36,15,13
129,3,2.86,30,54
129,1,2.92,6,71
130,5,20.6,12,78
130,3,22.74,28,78
130,1,24.34,17,84
131,3,8.54,24,25
132,3,26.57,17,48
133,4,9.47,27,45
133,1,10.55,5,70
133,3,8.33,11,17
134,1,6.91,5,59
134,2,7.35,30,100
135,1,22.4,15,23
135,5,16.15,28,28
136,2,41.3,12,78
136,1,42.89,23,65
137,2,31.57,14,60
138,3,37.15,18,44
138,4,43.83,30,60
139,2,25.35,12,37
139,3,26.32,9,72
140,4,15.64,23,89
141,2,13.16,15,86
141,4,12.48,6,100
142,5,36.97,7,16
142,1,46.57,5,32
142,4,42.55,18,15
143,4,283.85,8,97
143,3,290.9,15,24
144,3,59.71,21,43
144,4,67.32,19,70
145,4,56.08,11,76
145,2,46.76,12,12
145,5,51.68,13,42
146,5,23.47,19,93
147,1,142.15,20,77
147,4,162.22,15,12
148,5,1077.18,29,92
148,1,1084.27,18,14
149,4,23.33,5,61
150,1,38.84,18,70
150,3,32.4,7,91
150,2,44.75,27,79
151,5,24.57,10,86
151,3,18.23,28,61
151,1,24.41,11,82
152,2,32.61,20,69
153,5,10.5,25,85
153,3,11.19,14,96
154,2,10.34,11,41
155,3,11.57,21,67
155,4,9.64,27,74
156,5,286.13,7,15
157,3,163.85,17,92
157,1,138.17,5,64
157,2,132.56,20,14
158,1,129.45,29,78
158,2,137.29,14,66
159,4,10.53,21,35
159,2,10.82,12,42
159,1,9.71,29,54
160,3,27.17,15,94
160,4,28.05,26,10
161,4,138.33,24,26
161,5,119.18,21,17
162,1,17.05,8,67
162,5,21.67,21,41
162,3,23.69,30,59
163,5,249.45,7,64
163,1,276.86,21,51
164,1,87.12,13,43
164,4,99.4,6,80
164,2,85.06,23,50
165,1,5.94,5,35
165,3,6.88,25,14
165,5,5.65,16,65
166,5,29.14,15,29
167,2,36.17,29,16
167,1,29.33,16,30
168,5,53.63,25,14
169,1,91.23,24,94
170,3,3.56,11,38
170,2,2.99,24,31
170,4,4.31,16,61
171,1,62.61,5,41
171,3,56.1,24,92
172,1,251.12,16,45
172,5,332.68,6,33
172,4,318.16,11,30
173,1,53.68,25,87
174,5,31.65,22,51
174,3,28.64,14,26
175,4,991.6,22,27
176,5,37.74,27,59
176,2,54.29,9,17
176,4,42.59,8,98
177,1,35.95,6,54
178,5,266.32,27,67
178,4,233.36,21,55
179,1,145.22,20,86
179,4,128.92,11,85
180,4,346.38,9,44
180,1,333.4,15,91
180,5,315.61,12,77
181,4,37.29,7,78
182,4,10.4,26,34
183,1,13.4,18,45
183,5,13.31,23,55
183,3,13.39,8,74
184,1,30.69,16,56
184,4,37.18,26,63
185,5,42.88,26,20
185,4,35.99,15,85
185,1,31.44,6,75
186,5,16.11,28,89
187,2,85.68,13,74
187,5,73.89,8,96
188,3,30.8,27,47
188,4,38.4,14,84
189,1,11.12,27,51
189,5,14.39,21,83
189,3,11.23,13,46
190,1,21.63,6,40
190,4,23.27,5,66
191,3,23.11,16,54
191,5,24.79,24,99
192,2,25.37,15,75
193,1,20.96,6,74
193,2,27.81,9,94
193,3,21.71,19,52
194,1,24.33,19,90
194,3,24.83,20,44
195,5,81.27,10,57
195,3,72.1,27,25
196,2,22.67,19,28
197,2,86.5,30,41
197,4,78.47,20,88
198,4,49.23,6,100
199,4,22.41,16,86
199,3,23.26,22,49
200,3,30.79,18,69
200,5,33.18,28,23
200,2,27.91,9,35
201,5,13.66,30,63
201,4,14.17,20,25
201,3,11.48,16,85
202,2,12.23,5,31
203,3,1245.28,13,89
203,1,1400.65,5,58
204,1,26.99,9,29
204,2,31.65,26,71
205,1,8.31,30,18
205,2,10.36,16,24
206,3,32.21,13,23
206,1,30.61,25,16
206,5,25.21,14,56
207,2,32.41,30,47
207,4,29.84,24,53
208,4,65.71,30,33
208,1,66.49,18,81
209,3,30.02,16,94
209,5,33.67,29,63
209,2,32.73,6,81
210,2,61.01,5,48
210,1,77.39,28,84
210,3,54.17,21,63
211,1,42.61,11,20
211,4,51.39,16,52
211,3,55.69,22,51
212,5,17.69,27,84
213,3,47.54,12,60
213,5,47.04,6,88
214,3,10.98,7,95
214,2,9.93,6,77
214,4,9.54,21,74
215,4,8.06,26,13
215,5,10.21,6,57
215,2,8.13,29,80
216,4,168.85,7,23
217,2,53.64,10,15
217,3,40.81,14,16
218,3,22.06,11,97
219,1,23.43,27,37
219,3,25.21,18,41
219,4,21.43,6,33
220,5,12.23,12,79
221,4,32.34,21,31
221,2,36.11,7,81
221,5,31.07,11,77
222,3,676.57,19,76
222,5,622.05,29,62
223,5,18.01,12,44
223,3,21.33,30,27
224,5,16.83,12,48
224,3,21.05,7,33
224,4,19.22,28,61
225,3,39.2,13,29
225,4,46.66,18,49
226,2,82.11,13,69
226,1,76.34,11,97
227,4,1199.14,24,65
228,3,116.28,24,93
228,2,120.83,7,97
229,5,23.08,19,48
229,1,20.57,23,31
229,3,20.92,21,67
230,2,6.67,13,59
230,5,9.0,11,82
230,3,8.36,15,41
231,2,822.02,15,65
232,5,17.17,9,35
232,1,19.44,5,29
233,5,593.24,30,84
233,2,688.04,22,82
233,4,699.56,13,85
234,1,34.72,26,76
234,3,29.98,8,94
235,2,16.84,9,83
235,1,21.46,9,41
235,3,20.56,25,90
236,2,438.59,17,81
236,1,511.32,10,16
236,3,457.1,11,39
237,1,13.3,29,44
237,2,10.09,17,96
238,1,28.07,21,62
238,5,33.88,14,100
238,3,39.2,21,51
239,1,18.52,6,43
239,2,20.64,15,84
240,3,37.43,15,96
240,5,38.67,26,61
241,4,73.69,30,57
241,1,73.85,19,74
241,5,62.34,26,10
242,2,506.95,15,18
243,5,22.09,17,91
243,1,28.48,25,64
243,4,23.43,13,87
244,5,11.64,18,38
244,3,11.38,6,57
245,2,26.71,18,55
245,5,27.8,13,42
246,5,448.11,14,29
247,4,11.47,21,65
248,2,144.44,27,22
248,5,183.95,9,16
249,5,7.84,25,83
250,1,24.29,21,54
251,2,131.21,5,53
251,4,107.36,25,22
251,1,99.63,15,80
252,3,96.06,7,90
252,2,106.07,11,33
253,2,38.93,21,70
254,4,7.87,11,33
254,2,9.32,26,85
255,1,63.94,29,45
255,2,50.1,11,80
255,3,49.33,17,15
256,4,128.89,24,19
256,3,125.95,20,15
256,2,93.8,9,26
257,3,6.79,13,54
257,5,8.02,25,47
257,2,8.41,29,62
258,3,24.2,5,52
258,1,26.32,20,12
259,2,27.2,24,89
259,1,30.31,8,47
259,5,27.64,21,34
260,3,25.48,5,90
261,2,39.21,28,56
261,5,33.59,6,64
262,2,18.64,29,29
263,3,684.61,22,85
264,1,30.32,30,35
264,4,37.42,8,46
265,2,104.51,9,15
265,5,106.57,7,88
266,3,155.08,12,21
267,3,60.83,18,54
268,3,344.11,10,38
268,5,265.23,7,62
269,3,15.2,5,63
269,4,17.95,13,68
270,2,7.78,9,63
270,3,8.2,9,16
271,1,78.57,25,70
271,2,96.28,9,68
271,3,95.46,8,10
272,3,89.51,16,97
273,4,758.8,6,64
273,1,767.48,15,69
274,2,43.03,10,20
275,4,24.3,17,68
275,2,27.64,24,35
275,1,27.07,12,56
276,3,28.75,12,99
277,3,643.43,16,44
278,1,24.07,23,99
278,4,24.47,7,63
278,5,24.59,6,66
279,2,6.84,9,23
279,3,8.06,12,14
279,1,6.4,10,60
280,1,91.19,28,77
280,2,112.09,25,97
280,3,93.84,8,83
281,2,4.59,6,48
282,1,187.4,25,18
283,3,17.2,22,74
283,4,12.9,15,22
284,3,11.6,11,46
285,2,17.55,28,41
285,3,14.07,18,35
286,2,9.41,20,100
287,4,6.74,11,69
287,3,6.74,6,10
288,4,446.26,14,25
288,2,380.73,13,39
288,1,387.89,19,14
289,5,865.36,8,69
289,2,657.41,28,44
289,4,798.04,8,33
290,5,172.57,24,31
290,1,162.87,26,38
291,5,43.34,25,82
292,5,290.59,19,92
292,2,334.1,22,57
292,3,280.01,8,68
293,4,54.84,16,14
293,3,49.57,8,73
294,4,352.47,27,82
294,5,352.82,29,99
294,2,326.06,6,97
295,3,20.78,23,20
295,1,21.19,24,80
296,3,10.42,25,19
297,4,6.98,17,46
297,2,7.13,5,76
298,5,96.42,13,48
298,4,72.61,16,100
298,1,96.56,25,47
299,2,6.97,28,52
299,1,6.33,16,69
300,4,378.75,17,57
301,2,282.8,17,33
302,2,56.59,25,51
303,5,47.53,28,33
303,2,54.24,23,94
304,5,584.67,29,26
305,4,42.25,30,18
305,1,33.72,18,75
305,3,45.47,5,25
306,4,105.7,30,38
307,1,22.36,23,93
307,4,16.29,13,83
308,4,94.34,7,93
309,2,9.86,11,27
309,1,12.03,17,95
310,1,27.11,16,95
311,1,357.13,19,69
311,3,374.78,20,16
311,2,276.73,26,85
312,1,11.79,17,74
312,2,11.76,8,23
313,3,74.89,25,93
313,4,88.9,24,61
313,2,73.93,5,72
314,3,78.13,15,86
314,5,83.79,27,82
315,1,774.08,23,31
315,2,787.73,16,25
315,4,1088.86,16,61
316,1,14.6,28,82
317,3,22.58,30,46
317,1,23.16,30,95
317,2,22.13,16,15
318,4,30.86,8,64
319,1,911.01,30,77
319,3,801.25,20,34
320,3,36.35,22,26
320,2,39.06,20,73
321,1,18.7,14,73
321,2,18.27,12,57
322,1,88.41,26,96
322,3,88.91,25,80
322,2,69.64,22,40
323,3,764.77,23,85
323,2,791.38,8,32
324,5,32.55,6,20
324,3,39.64,6,99
325,5,16.55,18,91
325,3,14.76,9,58
326,4,41.44,7,82
326,1,47.49,23,83
327,2,57.0,12,96
328,5,20.98,7,41
329,4,24.67,11,15
329,2,23.11,17,77
329,1,21.23,30,71
330,1,26.58,15,52
330,4,25.93,27,31
331,5,30.75,26,45
332,1,11.9,13,71
332,3,10.08,8,33
332,5,10.3,17,85
333,4,167.81,14,57
333,5,137.55,12,83
333,2,192.72,30,26
334,4,10.16,7,66
335,3,21.46,18,52
335,2,25.35,5,41
335,5,22.4,13,97
336,2,10.13,19,57
336,5,10.22,25,92
336,4,7.41,15,71
337,2,34.93,28,71
337,4,36.52,23,20
337,5,32.29,11,19
338,1,109.05,11,48
339,3,100.57,16,41
339,2,108.54,27,19
339,4,89.71,15,73
340,3,19.59,23,28
340,2,27.97,19,30
341,2,33.9,21,14
342,1,43.21,17,85
342,2,41.89,16,67
342,3,40.99,18,33
343,2,17.11,11,83
343,4,15.93,22,58
343,1,21.92,30,68
344,4,20.49,22,50
345,4,14.12,23,44
345,3,15.6,23,92
346,2,42.53,8,17
346,5,52.28,7,12
347,5,14.84,20,85
347,3,17.11,24,34
348,4,3.27,23,29
348,5,3.04,5,23
349,3,34.91,21,79
349,5,35.87,24,63
349,1,32.56,24,92
350,1,15.0,9,90
351,3,21.38,19,51
351,1,21.04,14,74
351,2,27.49,7,22
352,5,11.48,20,14
353,5,55.68,16,60
354,5,726.04,18,46
355,4,22.4,10,48
355,2,29.35,15,51
355,1,23.67,10,10
356,4,208.35,12,53
357,4,80.13,17,89
357,2,96.46,10,28
357,5,94.84,23,46
358,1,28.55,7,66
359,3,32.52,12,45
360,5,26.14,6,89
360,1,32.09,13,70
361,3,29.92,26,16
361,5,35.28,30,41
361,4,42.71,21,19
362,1,36.64,29,55
363,5,13.51,15,27
364,4,81.45,29,20
365,1,8.37,10,31
365,5,8.81,8,72
365,2,8.99,7,59
366,1,242.63,24,53
366,4,289.52,26,20
366,5,300.53,15,44
367,5,42.68,26,35
368,3,116.61,28,11
368,1,104.34,15,86
369,4,24.92,18,99
370,4,200.67,19,92
370,3,205.45,26,57
371,3,67.4,10,82
371,1,56.12,15,32
371,5,74.6,14,85
372,3,113.8,23,24
373,5,10.41,25,46
373,4,8.37,23,87
373,2,8.8,8,47
374,5,24.4,29,20
375,1,45.23,16,98
376,5,22.16,23,84
376,2,20.24,8,46
376,4,26.39,18,51
377,4,20.35,8,30
378,4,100.5,19,48
378,2,143.04,9,16
378,5,129.64,21,92
379,2,26.64,18,89
379,3,29.38,21,76
380,2,23.38,24,48
380,5,24.75,27,79
381,4,13.41,30,86
382,1,59.76,17,68
383,4,14.3,24,23
383,1,17.9,14,44
383,5,16.55,23,25
384,4,2.92,9,24
384,5,3.41,5,22
385,1,7.79,21,50
386,5,80.88,16,61
387,5,20.44,12,47
387,2,16.12,13,11
387,1,20.14,9,42
388,4,6.13,17,71
388,3,7.99,25,41
389,3,30.64,9,50
390,2,23.9,29,42
391,2,97.22,18,66
392,3,23.67,20,59
393,2,9.79,9,89
394,4,63.97,25,94
394,5,77.44,29,78
394,2,72.57,27,64
395,5,19.36,20,48
395,2,16.59,22,99
395,4,23.25,20,72
396,1,13.0,19,93
397,5,50.87,14,98
397,3,47.91,12,37
398,3,111.94,30,57
398,2,156.96,5,98
398,1,146.99,30,86
399,5,51.53,9,46
399,1,50.37,30,27
399,2,42.2,10,65
400,3,29.91,7,65
400,1,35.86,26,78
401,1,309.64,23,32
401,3,288.14,18,100
401,5,314.56,23,80
402,2,39.44,12,81
402,1,38.83,30,80
403,5,110.77,21,83
404,3,11.63,25,34
405,5,741.68,29,68
405,3,719.86,18,76
405,4,570.78,28,15
406,1,31.06,12,55
406,4,41.36,19,93
407,1,89.74,24,87
408,4,14.76,7,20
408,2,15.6,26,84
409,2,27.66,7,93
409,4,27.71,12,49
409,3,34.24,28,17
410,3,94.47,20,93
410,1,94.31,20,57
411,5,24.69,22,48
412,2,17.82,23,88
412,1,20.39,17,35
412,4,21.72,19,58
413,3,41.18,18,26
413,2,47.19,12,79
413,4,50.01,30,51
414,3,17.22,24,42
414,1,18.63,28,55
414,2,16.63,10,30
415,3,28.83,15,22
415,5,24.52,11,100
416,5,13.21,24,18
417,4,24.63,23,62
417,2,23.71,27,55
418,3,73.23,27,22
419,2,666.48,20,49
420,5,66.08,12,64
420,3,69.9,29,55
421,5,22.89,15,13
421,4,19.78,20,40
421,1,21.93,9,28
422,1,22.34,18,99
423,5,57.35,30,69
423,1,57.86,6,100
424,3,634.56,26,32
425,3,36.57,22,24
426,4,17.25,19,18
427,1,122.56,25,82
427,4,119.7,16,49
427,2,116.42,28,97
428,1,93.07,9,25
428,5,83.06,10,66
428,2,110.28,23,64
429,5,81.75,20,37
430,2,53.04,24,36
431,3,129.8,8,12
432,4,11.62,10,40
432,3,9.53,18,52
432,1,12.91,23,43
433,2,7.93,5,40
433,3,7.88,22,22
433,4,7.03,5,41
434,1,28.27,22,57
434,4,31.76,26,14
434,5,34.13,9,18
435,3,5.94,7,100
435,5,6.22,22,21
435,1,6.76,9,76
436,1,36.31,7,64
436,3,32.18,20,78
437,2,7.4,25,34
437,1,6.11,7,46
438,4,3.93,20,11
438,3,3.33,9,12
438,1,3.44,25,49
439,2,1240.5,11,36
439,3,1146.66,9,23
439,5,1015.73,16,18
440,1,81.63,14,60
441,4,37.15,25,47
442,1,9.54,12,53
443,1,6.98,28,68
443,4,7.69,9,16
444,3,113.23,9,97
444,4,122.79,26,39
444,2,118.93,16,64
445,5,75.58,26,20
445,2,76.35,30,19
445,1,83.14,30,86
446,2,179.64,22,73
446,4,165.86,19,72
446,5,148.04,28,66
447,5,12.69,11,74
447,4,10.98,26,19
448,4,15.79,24,78
449,5,25.12,23,38
450,4,21.34,25,30
450,1,17.74,21,70
450,5,19.33,13,56
451,2,20.93,15,53
452,1,7.92,21,20
452,3,8.38,30,68
452,5,8.96,12,45
453,2,18.13,26,13
454,4,8.87,23,94
454,5,7.2,14,96
455,3,23.38,25,23
456,5,27.29,30,50
456,1,23.81,24,34
457,4,3.97,22,91
457,2,4.38,26,60
457,3,5.13,6,56
458,3,23.88,24,34
458,5,23.38,23,33
459,2,21.02,23,50
459,5,22.74,18,39
460,1,26.08,18,68
460,3,22.64,6,69
460,4,33.4,7,55
461,4,14.76,26,45
462,2,100.83,16,55
463,4,18.16,28,53
463,3,18.89,26,50
463,5,15.54,29,14
464,5,55.91,21,100
464,2,52.55,18,68
465,2,86.82,21,77
465,5,81.65,30,85
466,2,23.33,28,27
467,1,55.81,6,14
468,5,316.14,26,95
468,4,228.51,13,12
469,5,11.3,29,18
469,3,14.61,30,32
469,1,11.23,8,98
470,2,10.01,20,78
470,5,11.39,13,22
471,2,47.56,14,80
472,1,47.44,7,76
472,4,47.63,13,29
473,2,58.14,14,48
473,4,77.22,20,17
474,5,38.85,22,63
474,4,42.48,8,12
474,1,51.25,21,69
475,5,118.25,12,41
475,3,91.79,19,16
476,1,872.3,14,38
476,5,1063.37,5,69
476,2,856.66,14,58
477,5,76.19,21,82
477,4,94.08,20,94
477,1,90.94,24,96
478,1,72.23,25,17
479,2,91.11,12,75
479,4,97.11,30,69
480,2,63.11,28,74
480,4,70.54,23,28
481,4,25.98,23,30
481,3,24.68,5,46
482,5,12.63,26,34
482,2,12.26,21,64
482,1,16.49,14,41
483,5,36.01,13,55
484,3,4.03,16,22
484,4,4.26,8,31
484,2,4.18,24,20
485,3,7.47,12,44
485,1,8.14,29,68
486,2,21.42,9,55
486,5,28.14,30,97
487,4,85.82,30,98
487,1,87.11,17,27
488,5,18.12,25,95
488,2,18.67,8,19
489,1,46.54,25,18
489,3,43.56,5,91
490,4,16.82,5,72
491,3,27.82,17,93
492,4,887.77,30,14
492,3,950.84,9,32
492,2,836.0,26,49
493,3,20.07,18,66
493,5,24.62,12,56
494,5,12.81,26,27
495,2,14.82,8,25
495,5,15.13,8,97
496,5,3.53,24,83
496,3,3.6,14,44
497,5,13.76,30,99
497,1,13.4,13,52
497,3,14.87,19,50
498,5,132.54,17,77
498,4,94.89,25,89
498,3,105.66,22,23
499,4,22.64,23,94
499,2,18.35,6,33
500,3,95.8,16,81
